1072;Holiday Inn Washington
1074;Romulus Hotel
1081;Artemide Hotel
1085;Minami-Awaji Royal Hotel
1089;The Riviera Hotel Taipei
1092;Courtyard by Marriott Tokyo Ginza Hotel
1095;Lilianfels Resort & Spa
1099;Hotel Berne Opera
1105;The Aiyapura Koh Chang
1115;Ibis Jakarta Kemayoran
1117;Sercotel Las Torres
1125;The Sydney Boulevard Hotel
1126;The Westin Chosun Seoul
1130;DoubleTree by Hilton London Hyde Park Hotel
1137;Ateneo Garden Palace Hotel
1139;Mercure Jakarta Kota Hotel
1142;Hotel Eben
1143;Hotel Italia
1145;Mercure Hull Grange Park Hotel
1151;Hotel Pennsylvania
1160;Radisson Blu Plaza Xing Guo Hotel Shanghai
1165;Pousada Castelo de Alcacer do Sal - Historic Hotel
1174;Le Terminus Carcassonne
1177;Fifty NYC-an Affinia Hotel
1178;Dunollie Hotel A Bespoke Hotel
1179;Etoile St Honore Champs Elysees Hotel
1181;Gainsborough Hotel
1182;Shikarbadi Heritage Hotel
1185;Clarion Hotel Palmer Inn Princeton
1189;THE US GRANT a Luxury Collection Hotel San Diego
1196;The Pickwick Hotel
1197;Radisson Blu Edwardian Berkshire Hotel
1199;Krabi Thai Village Resort
1200;First Hotel Aalborg
1203;Crowne Plaza Toronto Airport
1206;pentahotel Wiesbaden
1208;Chinatown Hotel
1209;Hilton Springfield 
1214;La Plage Resort
1223;Regency Palace Amman
1225;Hilton Brussels Grand Place
1227;Crowne Plaza Seattle
1233;Ramada Hatfield Hotel
1249;Radisson Blu Park Hotel Athens
1250;Hotel Caumartin Opera - Astotel
1251;Sanur Paradise Plaza Hotel
1254;St. Barbara Hotel
1259;Suriwongse Hotel
1261;Hotel Apogia Sirio Venezia
1265;Grand Yavuz Hotel
1268;Four Points by Sheraton French Quarter
1273;Sheraton Munich Westpark Hotel
1281;Hotel Budapest
1282;Crowne Plaza Hotel Hamburg - City Alster
1284;Hotel 81 Geylang
1286;Petit Palace Arana Bilbao
1288;Holiday Inn Express Toronto Downtown
1290;Radisson Blu Hotel Alesund
1291;Novotel Milano Nord Ca Granda Hotel
1292;Alpina Hotel
1294;Holiday Inn National Airport/Crystal City
1297;Sheraton Chengdu Lido Hotel
1298;Hotel Osterport
1300;First Hotel Twentyseven
1303;The Surrey Hotel
1306;Amora Jamison Hotel
1309;Ilunion Almirante Hotel
1312;Fairmont Rey Juan Carlos I Hotel
1323;DoubleTree Suites by Hilton Hotel Orlando - Lake Buena Vista
1331;Mercure Hurghada Hotel
1332;Carlton Beach Hotel
1334;DoubleTree by Hilton Hotel Anaheim - Orange County
1336;Ajman Beach Hotel
1352;Hotel Mercure Wroclaw Centrum
1353;Novotel Avignon Nord Hotel
1355;Crowne Plaza Hotel Miami International Airport
1358;The Balmoral Hotel
1359;Park Inn By Radisson Copenhagen Airport
1360;Zurich Marriott Hotel
1363;Ambassador Hotel
1364;Sapporo View Hotel Oodori Kouen
1368;Caesar Park Hotel
1372;Novotel Ambassador Seoul Gangnam
1378;NH Bussum Jan Tabak
1379;Corinthia Hotel Prague
1381;Hotel Maria Cristina San Sebastian
1382;Mercure Airport Hotel Berlin Tegel
1388;Crowne Plaza Toulouse
1394;DoubleTree by Hilton Hotel Cariari San Jose
1395;IH Hotels Milano Puccini
1397;Hilton Milan Hotel
1402;Swissotel Beijing Hong Kong Macau Center Hotel
1405;ANA Crowne Plaza Hiroshima
1406;Paradise Resort Gold Coast
1407;The Westin Paris Ìê Vendome
1409;Hampshire Hotel - Eden Amsterdam
1415;Bellevue Rheinhotel
1416;TRYP Paris Opera Hotel
1418;Hotel Vila Lumbung
1419;Hotel Kavalir
1423;Gray d'Albion Barriere Cannes
1426;Diplomat Hotel
1438;The Principal Edinburgh George Street
1446;The Dragon Hotel Hangzhou
1448;Pointe Hilton Squaw Peak Resort
1454;NH Brussels Stå_phanie
1455;pentahotel Brussels City Centre
1456;Hyatt Regency Birmingham Hotel
1458;Ambassadors Bloomsbury Hotel
1467;Ibis Melbourne Hotel and Apartments
1476;Everglades Hotel
1477;Low Wood Bay Hotel
1481;First Hotel Kong Frederik
1483;Hotel les Jardins d'Eiffel
1488;Hotel Libertel Montmartre Opå_ra
1492;Novotel Beaune
1495;Crowne Plaza Seattle Airport
1503;DoubleTree by Hilton Houston Hobby Airport
1504;Timhotel Montmartre
1505;Imperial Palace Suites Quezon City Hotel
1506;New Hotel Bompard
1508;Castle Kona Reef
1509;Aberotel Montparnasse Hotel
1510;H10 Itaca Hotel
1512;Meilian City Holiday Hotel
1514;The Excelsior Hong Kong
1516;The Ritz-Carlton Hong Kong
1517;Crowne Plaza Santiago
1523;Hampshire Hotel - Babylon Den Haag
1531;NH Prague City
1533;Hotel Corona De Granada
1534;Hotel Campanile Barcelona - Barbera del Valles
1535;Heritage Hotel Queenstown
1536;Arena City Hotel
1537;Grand Hotel Eden
1538;Hotel Maya
1542;Hotel Vertigo
1543;HF Ipanema Porto Hotel
1548;Hyatt Regency Hua Hin Hotel
1549;Mercure Leicester The Grand Hotel
1550;Holiday Inn Express Gent
1558;Plaka Hotel
1565;Hilton Salalah Resort
1566;Holiday Inn Buena Park
1568;Sheraton Gateway Hotel in Toronto International Airport
1572;Kervansaray Thermal Hotel
1576;Parkhotel Laurin
1588;Sol Beach House Bali-Benoa by Melia Hotels International
1590;Gh Roi Rene Mgallery Hotel
1593;Hotel Vendome
1594;Hotel Laurus al Duomo
1595;Thon Hotel Oslofjord
1596;Nagoya Tokyu Hotel
1597;Gulf Horizon Hotel
1598;AC Hotel by Marriott Ciudad de Tudela
1600;Urabandai Royal Hotel
1602;Sheraton Cordoba Hotel
1605;Bloomsbury Park - A Thistle Associate Hotel
1606;Hotel Nikko Dalian
1611;OREA Hotel Pyramida Prague Castle
1616;AXA Hotel
1619;Holiday Inn Hotel & Suites Santa Maria
1625;Topaz Hotel
1629;Best Western Saphir
1635;M Hotel
1642;RIHGA Royal Hotel Osaka
1645;Fairmont Empress Hotel
1657;Doubletree Hotel Los Angeles/Commerce
1660;Rome Marriott Grand Hotel Flora
1661;Hotel Santa Chiara
1669;Radisson Hotel Salt Lake City Downtown
1671;Renaissance Hamburg Hotel
1672;Hyatt Regency Washington
1675;K+K Cayre Hotel
1677;Novotel Warszawa Centrum Hotel
1678;Holiday Inn Bratislava
1679;Sheraton Montevideo Hotel
1687;Classics Hotel Bastille
1689;Crowne Plaza Zhengzhou
1693;Radisson Blu Scandinavia Hotel Copenhagen
1698;First Hotel Grand
1702;Valamar Dubrovnik President Hotel
1705;Residence Beach Hotel
1706;Hotel La Manufacture
1708;Luxer Hotel
1712;The Tubkaak Boutique Resort
1729;Vienna House Easy GåÙnzburg
1735;Bled Hotel
1739;Warmthotel
1743;Divan Istanbul Hotel
1744;Hotel Fuerstenhof a Luxury Collection Hotel Leipzig
1747;Doubletree Houston Intercontinental Airport Hotel
1752;Best Western Plus La Demeure
1757;Expo Hotel Valencia
1759;Marriott Petra Hotel
1766;Håªtel de Famille
1769;Hamilton Island Palm Bungalows
1771;Holiday Inn Dijon Toison D'or
1773;Skyline Hotel
1774;Exe Laietana Palace
1775;Hamilton Island Reef View Hotel
1777;Ibis Jakarta Tamarin Hotel
1778;Crowne Plaza Auckland
1781;Aryaduta Jakarta
1782;Britannia International Hotel Canary Wharf
1783;Stanford Hillview Hotel
1785;B&B Hotel Napoli
1786;Hotel Westminster
1789;Holiday Villa Hotel
1791;Hotel Mercure Strasbourg Aeroport
1793;Mercure Canberra
1795;Hotel Bily Lev
1798;Ilunion Golf Badajoz Hotel
1799;Kitakyushu-Yahata Royal Hotel
1805;NH Nice Hotel
1810;Fairmont Towers Heliopolis
1813;Mercure Ayr Hotel
1817;Hotel Libertel Gare du Nord Suede
1819;Hilton Munich Park
1820;Budapest Marriott Hotel
1821;Hilton Vancouver Metrotown Hotel
1822;Grand Inna Kuta
1824;Novotel Geneve Centre Hotel
1825;Hyatt Regency Fukuoka
1830;Best Western New York Nice
1834;Brooks Hotel Edinburgh
1837;Hotel Portello - Gruppo MiniHotel
1843;Holiday Inn York
1844;Gateway Hotel (Marco Polo)
1846;Clift San Francisco
1850;Sercotel Gran Hotel Conde Duque
1853;Park Regis City Centre Hotel
1858;Metropole Hotel
1859;Le Meridien N Fis
1866;Hotel Metropole
1867;Krabi Heritage Hotel
1874;Plaza Etoile Hotel
1879;Novotel Melbourne St Kilda Hotel
1883;Amsterdam Court Hotel
1885;Grand Hotel
1888;Shangri-La Hotel Shenzhen
1893;Trident Udaipur Hotel
1897;Millennium Seoul Hilton Hotel
1900;Hotel Plaza Nazareth Ilit
1908;Pedro I De Aragon Hotel
1909;Grasmere House Hotel
1910;Hotel Beau Rivage Geneva
1916;JW Marriott Hotel Hong Kong
1917;Hotel Geneve
1919;Mercure Hotel Amsterdam Airport
1920;Adina Apartment Hotel Sydney Town Hall
1921;Novotel Nathan Road Kowloon Hotel
1925;Hotel Cambodiana
1928;Best Western Hotel Bristol
1930;Centara Hotel Hat Yai
1931;Steigenberger Conti Hansa Hotel
1935;Hotel Sunroute Plaza Shinjuku
1936;Best Western PLUS Independence Park Hotel
1938;Bay Village Tropical Retreat & Apartments
1945;Sheraton Grand Mirage Resort, Gold Coast
1953;Wyndham Stralsund Hansedom
1955;HCC Regente Hotel
1961;Legian Beach Hotel
1962;Hotel Internacional Ramblas Cool
1963;Cerulean Tower Tokyu Hotel
1970;Four Points by Sheraton Toronto Airport
1971;Hyatt Regency Paris - Charles de Gaulle
1973;Sofitel Moorea Ia Ora Beach Resort
1974;Gold Coast Hotel
1975;Quay West Suites Melbourne
1981;Balmoral Hotel
1983;The Ville Resort Casino
1985;Novotel Canberra Hotel
1986;Sretenskaya Hotel
1992;Best Western PLUS Oakbrook Inn
1993;Best Western Karl Johan Hotel
1994;Orient Express Hotel
1999;Senator Barajas Hotel
2001;The Palace Hotel
2002;Hotel Schweizerhof Luzern
2004;Sunworld Hotel Wangfujing
2008;Tropical Heritage Cairns
2009;Mercure Resort Sanur
2012;DoubleTree by Hilton Hotel Tarrytown
2014;Delmon International Hotel
2018;The Westin Excelsior Florence
2019;Victoria Hoi An Beach Resort & Spa
2020;Hotel 81 Orchid
2021;El Pardo DoubleTree by Hilton Hotel
2025;Madison Hotel
2027;Imperial Hotel Osaka
2028;Hotel Sky Court NARITA
2032;Novotel Warszawa Airport
2033;The Table Bay Hotel
2035;The Athenaeum Hotel & Residences
2036;Thon Munch
2038;Best Western Inn at Palm Springs
2043;Hotel Art-Deco Eurallile
2044;The Hotel Nagasaki BW Premier Collection
2048;Fletcher Hotel-Restaurant Jan van Scorel
2050;Quality Suites Universal South
2051;Novotel Sydney on Darling Harbour Hotel
2054;Kempinski Hotel Beijing Lufthansa Center
2055;Thon Terminus
2061;Novotel Aix en Provence Pont de l Arc Fenouilleres
2062;Nh Atlanta Rotterdam Hotel
2067;The Salisbury Ìê YMCA of Hong Kong
2076;Westside Arc de Triomphe Hotel
2077;Radisson Blu Atlantic Hotel Stavanger
2078;La Paloma Hotel
2082;Shin-Osaka Esaka Tokyu REI Hotel
2084;Zhejiang International Hotel
2086;Hotel Canova
2093;Sofitel Bora Bora Marara Beach Hotel
2095;Hotel Edouard VI
2096;Regency Art Hotel
2100;TOP Hotel Ambassador Zlata Husa
2106;Clarion Collection Hotel Astoria Genova
2107;Hotel Villa Magna
2109;Mantra On The Esplanade Hotel
2112;Park Inn Weimar
2114;Villa Montparnasse Hotel
2118;Plaza Hotel Lucchesi
2119;Hilton Chicago Hotel
2124;The Cabanas Hotel at Sun City Resort
2129;Hotel Grand Central
2132;Hotel Chateau de la Pioline
2146;AC Palacio De Santa Paula Hotel Autograph Collection
2148;Best Western Ingram Park Inn
2154;Silken St Gervasi Hotel
